	积分流强A*h	  流强mA	  寿命h 	压强pa  	流强*寿命	压强/流强
	556.4503947	148.1079154	9.90987437	5.06E-08	1467.730835	4.40E-10
	557.6084694	146.05986	9.83201775	5.08E-08	1436.063136	4.47E-10
	559.08444	104.2309344	11.9658247	4.28E-08	1247.20909	6.26E-10
	560.6602072	99.6451066	11.78886826	4.25E-08	1174.703034	6.55E-10
	562.2169197	97.9624342	11.98650229	4.19E-08	1174.226942	6.66E-10
	563.298234	175.428767	8.4446415	5.73E-08	1481.433046	3.72E-10
	564.4763426	146.1512414	8.878869027	5.42E-08	1297.65773	4.46E-10
	565.8201587	101.0368516	12.31414077	4.19E-08	1244.182014	6.46E-10
	566.9831782	151.3848802	9.235475856	5.28E-08	1398.111406	4.31E-10
	568.0300967	139.9569228	9.723302177	5.20E-08	1360.843452	4.66E-10
	570.6928161	103.2053862	13.56956261	4.02E-08	1400.45195	6.32E-10
	572.6042687	120.9962192	10.64576174	4.25E-08	1288.09692	5.39E-10
	574.036019	172.5361406	8.456704366	5.19E-08	1459.087133	3.78E-10
	575.34475	157.4246072	9.181756397	4.99E-08	1445.434394	4.14E-10
	580.7528262	259.370518	6.109639178	6.51E-08	1504.660278	2.51E-10
	582.6792334	267.702056	5.904922745	6.45E-08	1580.759959	2.44E-10
	584.2568653	192.0796668	8.448164	6.41E-08	1622.720526	3.40E-10
	585.0909647	203.00079	8.392898053	6.00E-08	1703.764935	3.21E-10
	588.6408371	242.676414	6.653637107	6.39E-08	1614.680793	2.69E-10
	592.5740955	266.59168	6.011543501	6.52E-08	1602.627481	2.45E-10
	598.530471	228.216614	7.527880544	5.94E-08	1717.987408	2.86E-10
	599.7467205	206.73809	7.850073535	5.91E-08	1622.909209	3.15E-10
	601.0042854	214.298936	7.713170103	6.03E-08	1652.924146	3.04E-10
	602.7173679	203.052134	8.285779421	5.64E-08	1682.445193	3.21E-10
	605.3457995	135.583322	11.25596336	4.28E-08	1526.120905	4.81E-10
